{'BatchDate': '2020-01-31 21:57:13', 'StartingDate': '2020-01-31 20:57:02', 'EndingDate': '2020-01-31 21:57:02', 'Delay': '1h0min', 'nRT': 13001, 'nInf': 2075, 'nFam': 2682, 'nUse': 10008}
{'BatchDate': '2020-01-31 22:57:18', 'StartingDate': '2020-01-31 21:57:02', 'EndingDate': '2020-01-31 22:57:05', 'Delay': '1h0min', 'nRT': 13451, 'nInf': 2085, 'nFam': 2577, 'nUse': 10459}
{'BatchDate': '2020-01-31 23:57:13', 'StartingDate': '2020-01-31 22:57:05', 'EndingDate': '2020-01-31 23:57:02', 'Delay': '0h59min', 'nRT': 12366, 'nInf': 1917, 'nFam': 2394, 'nUse': 9609}
{'BatchDate': '2020-02-01 00:57:10', 'StartingDate': '2020-01-31 23:57:02', 'EndingDate': '2020-02-01 00:57:00', 'Delay': '0h59min', 'nRT': 9554, 'nInf': 1644, 'nFam': 2042, 'nUse': 7505}
{'BatchDate': '2020-02-01 01:57:09', 'StartingDate': '2020-02-01 00:57:01', 'EndingDate': '2020-02-01 01:56:52', 'Delay': '0h59min', 'nRT': 6316, 'nInf': 1238, 'nFam': 1484, 'nUse': 5003}
{'BatchDate': '2020-02-01 02:57:12', 'StartingDate': '2020-02-01 01:56:53', 'EndingDate': '2020-02-01 02:57:01', 'Delay': '1h0min', 'nRT': 3966, 'nInf': 922, 'nFam': 1088, 'nUse': 3142}
{'BatchDate': '2020-02-01 03:57:14', 'StartingDate': '2020-02-01 02:57:02', 'EndingDate': '2020-02-01 03:56:54', 'Delay': '0h59min', 'nRT': 2533, 'nInf': 691, 'nFam': 803, 'nUse': 2009}
{'BatchDate': '2020-02-01 04:57:10', 'StartingDate': '2020-02-01 03:56:55', 'EndingDate': '2020-02-01 04:56:51', 'Delay': '0h59min', 'nRT': 1812, 'nInf': 572, 'nFam': 665, 'nUse': 1377}
{'BatchDate': '2020-02-01 05:57:10', 'StartingDate': '2020-02-01 04:56:52', 'EndingDate': '2020-02-01 05:56:52', 'Delay': '1h0min', 'nRT': 1527, 'nInf': 548, 'nFam': 648, 'nUse': 1128}
{'BatchDate': '2020-02-01 06:57:11', 'StartingDate': '2020-02-01 05:56:54', 'EndingDate': '2020-02-01 06:56:56', 'Delay': '1h0min', 'nRT': 2061, 'nInf': 663, 'nFam': 798, 'nUse': 1402}
{'BatchDate': '2020-02-01 07:57:09', 'StartingDate': '2020-02-01 06:56:56', 'EndingDate': '2020-02-01 07:56:54', 'Delay': '0h59min', 'nRT': 3531, 'nInf': 928, 'nFam': 1129, 'nUse': 2553}
{'BatchDate': '2020-02-01 08:57:12', 'StartingDate': '2020-02-01 07:56:56', 'EndingDate': '2020-02-01 08:57:01', 'Delay': '1h0min', 'nRT': 6502, 'nInf': 1266, 'nFam': 1557, 'nUse': 4771}
{'BatchDate': '2020-02-01 09:57:13', 'StartingDate': '2020-02-01 08:57:01', 'EndingDate': '2020-02-01 09:57:01', 'Delay': '1h0min', 'nRT': 9661, 'nInf': 1577, 'nFam': 1933, 'nUse': 7246}
{'BatchDate': '2020-02-01 10:57:14', 'StartingDate': '2020-02-01 09:57:03', 'EndingDate': '2020-02-01 10:57:03', 'Delay': '1h0min', 'nRT': 11729, 'nInf': 1841, 'nFam': 2280, 'nUse': 8771}
{'BatchDate': '2020-02-01 11:57:14', 'StartingDate': '2020-02-01 10:57:04', 'EndingDate': '2020-02-01 11:57:03', 'Delay': '0h59min', 'nRT': 13196, 'nInf': 1990, 'nFam': 2503, 'nUse': 10036}
{'BatchDate': '2020-02-01 12:57:14', 'StartingDate': '2020-02-01 11:57:04', 'EndingDate': '2020-02-01 12:57:03', 'Delay': '0h59min', 'nRT': 14376, 'nInf': 2017, 'nFam': 2577, 'nUse': 10895}
{'BatchDate': '2020-02-01 13:57:13', 'StartingDate': '2020-02-01 12:57:03', 'EndingDate': '2020-02-01 13:57:02', 'Delay': '0h59min', 'nRT': 14001, 'nInf': 2038, 'nFam': 2592, 'nUse': 10763}
{'BatchDate': '2020-02-01 14:57:17', 'StartingDate': '2020-02-01 13:57:03', 'EndingDate': '2020-02-01 14:57:04', 'Delay': '1h0min', 'nRT': 13603, 'nInf': 2051, 'nFam': 2616, 'nUse': 10382}
{'BatchDate': '2020-02-01 15:57:13', 'StartingDate': '2020-02-01 14:57:05', 'EndingDate': '2020-02-01 15:57:01', 'Delay': '0h59min', 'nRT': 12398, 'nInf': 2015, 'nFam': 2544, 'nUse': 9468}
{'BatchDate': '2020-02-01 16:57:12', 'StartingDate': '2020-02-01 15:57:01', 'EndingDate': '2020-02-01 16:57:01', 'Delay': '1h0min', 'nRT': 12330, 'nInf': 1992, 'nFam': 2570, 'nUse': 9146}
