{'NoldRTDF': 422842, 'NnewRTDF': 172166, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 10:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 10:57:03'}
{'NoldRTDF': 427707, 'NnewRTDF': 177031, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 11:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 11:57:04'}
{'NoldRTDF': 431289, 'NnewRTDF': 180613, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 12:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 12:57:03'}
{'NoldRTDF': 437038, 'NnewRTDF': 186362, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 13:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 13:57:03'}
{'NoldRTDF': 442083, 'NnewRTDF': 191407, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 14:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 14:57:02'}
{'NoldRTDF': 446957, 'NnewRTDF': 196281, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 15:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 15:57:04'}
{'NoldRTDF': 452006, 'NnewRTDF': 201330, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 16:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 16:57:03'}
{'NoldRTDF': 458934, 'NnewRTDF': 208258, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 17:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 17:57:04'}
{'NoldRTDF': 467391, 'NnewRTDF': 216715, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 18:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 18:57:04'}
{'NoldRTDF': 476722, 'NnewRTDF': 226046, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 19:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 19:57:04'}
{'NoldRTDF': 477488, 'NnewRTDF': 226812, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 20:57:05', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 20:57:05'}
{'NoldRTDF': 483915, 'NnewRTDF': 233239, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 21:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 21:57:03'}
{'NoldRTDF': 490073, 'NnewRTDF': 239397, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 22:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 22:57:02'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
{'NoldRTDF': 493208, 'NnewRTDF': 242532, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 23:32:14', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 23:32:14'}
