{'DateRun': '2020-01-31 18:57:26', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 18:57:00', 'NQualifiedRTA': 38591, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 19:57:26', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 19:57:01', 'NQualifiedRTA': 44831, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 20:57:28', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 20:57:01', 'NQualifiedRTA': 51349, 'NQualifiedRTB': 24378, 'NRelevantTweets': 772, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-01-31 21:57:28', 'FirstBassineID': 54878, 'DateLastAction': '2020-01-31 21:57:02', 'NQualifiedRTA': 19673, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-01-31 22:57:34', 'FirstBassineID': 54878, 'DateLastAction': '2020-01-31 22:57:05', 'NQualifiedRTA': 25853, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-01-31 23:57:28', 'FirstBassineID': 54878, 'DateLastAction': '2020-01-31 23:57:02', 'NQualifiedRTA': 31689, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-02-01 00:57:25', 'FirstBassineID': 54878, 'DateLastAction': '2020-02-01 00:57:00', 'NQualifiedRTA': 36316, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-02-01 01:57:23', 'FirstBassineID': 54878, 'DateLastAction': '2020-02-01 01:56:52', 'NQualifiedRTA': 39215, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-02-01 02:57:31', 'FirstBassineID': 54878, 'DateLastAction': '2020-02-01 02:57:01', 'NQualifiedRTA': 41058, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-02-01 03:57:34', 'FirstBassineID': 54878, 'DateLastAction': '2020-02-01 03:56:54', 'NQualifiedRTA': 42159, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3009}
{'DateRun': '2020-02-01 04:57:30', 'FirstBassineID': 54878, 'DateLastAction': '2020-02-01 04:56:51', 'NQualifiedRTA': 43032, 'NQualifiedRTB': 32145, 'NRelevantTweets': 604, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 05:57:30', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 05:56:52', 'NQualifiedRTA': 2307, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 06:57:31', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 06:56:56', 'NQualifiedRTA': 2548, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 07:57:24', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 07:56:54', 'NQualifiedRTA': 3079, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
